id,c_source,gene,gr,lag,upper_asymptote
60356,Acetate,b0273,0,1800,3.996666667
60357,Acetate,b0276,0,1800,2.113333333
60358,Acetate,b0277,0,1800,1.313333333
60359,Acetate,b0278,0,1800,2.083333333
60360,Acetate,b0279,0,1800,3.243333333
60361,Acetate,b0280,0,1800,1.756666667
60362,Acetate,b0281,0,1800,2.85
60364,Acetate,b0284,0,1800,1.756666667
60365,Acetate,b0285,0,1800,2.106666667
60366,Acetate,b0286,0,1800,2.056666667
60367,Acetate,b0287,0,1800,2.83
60368,Acetate,b0288,0,1800,2.526666667
60369,Acetate,b0289,0,1800,1.55
60370,Acetate,b0290,0,1800,2.97
60371,Acetate,b0291,0,1800,1.87
60372,Acetate,b0292,0,1800,1.273333333
60373,Acetate,b0293,0,1800,3.106666667
60374,Acetate,b0294,0,1800,2.33
60375,Acetate,b0295,0,1800,2.103333333
60376,Acetate,b0296,0,1800,2.07
60377,Acetate,b0297,0,1800,2.086666667
60378,Acetate,b0300,0,1800,0.493333333
60379,Acetate,b0301,0,1800,2.353333333
60380,Acetate,b0303,0,1800,2.14
60381,Acetate,b0304,0,1800,2.92
60382,Acetate,b0305,0,1800,2.013333333
60383,Acetate,b0306,0,1800,2.715
60384,Acetate,b0307,0,1800,0.856666667
60385,Acetate,b0308,0,1800,3.963333333
60386,Acetate,b0310,0,1800,1.743333333
60387,Acetate,b0311,0,1800,2.326666667
60388,Acetate,b0312,0,1800,3.023333333
60389,Acetate,b0313,0,1800,3.626666667
60390,Acetate,b0314,0,1800,1.743333333
60391,Acetate,b0315,0,1800,2.966666667
60392,Acetate,b0316,0,1800,3.636666667
60393,Acetate,b0317,0,1800,2.611666667
60394,Acetate,b0318,0,1800,2.473333333
60395,Acetate,b0319,0,1800,1.236666667
60396,Acetate,b0320,0,1800,1.846666667
60397,Acetate,b0321,0,1800,3.241666667
60398,Acetate,b0323,0,1800,2.206666667
60399,Acetate,b0324,0,1800,2.17
60400,Acetate,b0325,0,1800,1.396666667
60401,Acetate,b0326,0,1800,1.003333333
60402,Acetate,b0327,0,1800,2.183333333
60403,Acetate,b0328,0,1800,1.893333333
60404,Acetate,b0329,0,1800,2.333333333
60405,Acetate,b0330,0,1800,2.06
60406,Acetate,b0331,0,1800,2.296666667
60407,Acetate,b0333,0,1800,3.141666667
60408,Acetate,b0334,0,1800,2.32
60409,Acetate,b0335,0,1800,2.41
60410,Acetate,b0336,0,1800,2.153333333
60411,Acetate,b0337,0,1800,3.476666667
60412,Acetate,b0338,0,1800,1.966666667
60413,Acetate,b0339,0,1800,1.77
60414,Acetate,b0340,0,1800,3.383333333
60415,Acetate,b0341,0,1800,2.29
60416,Acetate,b0342,0,1800,1.696666667
60417,Acetate,b0343,0,1800,2.153333333
60419,Acetate,b0346,0,1800,2.19
60420,Acetate,b0347,0,1800,2.706666667
60421,Acetate,b0348,0,1800,1.556666667
60422,Acetate,b0349,0,1800,3.203333333
60423,Acetate,b0350,0,1800,2.093333333
60424,Acetate,b0351,0,1800,2.89
60425,Acetate,b0352,0,1800,2.84
60426,Acetate,b0353,0,1800,3.503333333
60427,Acetate,b0354,0,1800,2.353333333
60428,Acetate,b0355,0,1800,3.206666667
60431,Acetate,b0358,0,1800,1.676666667
60432,Acetate,b0363,0,1800,2.643333333
60433,Acetate,b0364,0,1800,2.33
60434,Acetate,b0365,0,1800,3.2
60435,Acetate,b0366,0,1800,1.46
60436,Acetate,b0367,0,1800,2.676666667
60437,Acetate,b0368,0,1800,1.876666667
60438,Acetate,b0375,0,1800,1.573333333
60439,Acetate,b0376,0,1800,1.983333333
60442,Acetate,b0379,0,1800,1.545
60444,Acetate,b0381,0,1800,3.936666667
60445,Acetate,b0382,0,1800,2.616666667
60446,Acetate,b0383,0,1800,1.343333333
